"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8181818181818182,0.56,0.9285714285714285,10,1,0
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,15,2,1
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,32,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,32,3,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,32,3,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,32,3,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,32,3,6
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,32,3,7
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,32,3,8
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,32,3,9
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,0.9285714285714286,24,1,0
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,0.9642857142857143,39,2,1
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,0.9642857142857143,41,3,2
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,1,57,4,3
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,1,57,4,4
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,1,57,4,5
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,1,57,4,6
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,1,57,4,7
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,1,57,4,8
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,1,57,4,9
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,15,1,0
"pos",1,1,1,1,1,"svm",1,1,1,21,2,1
"pos",1,1,1,1,1,"svm",1,1,1,23,3,2
"pos",1,1,1,1,1,"svm",1,1,1,23,3,3
"pos",1,1,1,1,1,"svm",1,1,1,23,3,4
"pos",1,1,1,1,1,"svm",1,1,1,23,3,5
"pos",1,1,1,1,1,"svm",1,1,1,23,3,6
"pos",1,1,1,1,1,"svm",1,1,1,23,3,7
"pos",1,1,1,1,1,"svm",1,1,1,23,3,8
"pos",1,1,1,1,1,"svm",1,1,1,23,3,9
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,0
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,1
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,2
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,3
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,4
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,5
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,6
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,7
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,8
"pos",0.25,0.5,0.25,0.8571428571428571,0.3333333333333333,"svm",0.6363636363636364,0.11999999999999988,0.6785714285714286,2,1,9
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8928571428571428,27,1,0
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8928571428571429,50,2,1
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.875,56,3,2
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8571428571428571,61,4,3
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8571428571428571,63,5,4
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8571428571428571,65,6,5
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8571428571428571,67,7,6
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8571428571428571,67,7,7
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8571428571428571,67,7,8
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8571428571428571,67,7,9
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9642857142857143,3,1,0
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,5,2,1
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9642857142857143,9,3,2
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,13,4,3
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,15,5,4
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,15,5,5
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,15,5,6
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,15,5,7
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,15,5,8
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,15,5,9
"pos",1,1,1,1,1,"svm",1,1,1,12,1,0
"pos",1,1,1,1,1,"svm",1,1,1,14,2,1
"pos",1,1,1,1,1,"svm",1,1,1,17,3,2
"pos",1,1,1,1,1,"svm",1,1,1,17,3,3
"pos",1,1,1,1,1,"svm",1,1,1,17,3,4
"pos",1,1,1,1,1,"svm",1,1,1,17,3,5
"pos",1,1,1,1,1,"svm",1,1,1,17,3,6
"pos",1,1,1,1,1,"svm",1,1,1,17,3,7
"pos",1,1,1,1,1,"svm",1,1,1,17,3,8
"pos",1,1,1,1,1,"svm",1,1,1,17,3,9
"pos",1,1,1,1,1,"svm",1,1,1,9,1,0
"pos",1,1,1,1,1,"svm",1,1,1,11,2,1
"pos",1,1,1,1,1,"svm",1,1,1,11,2,2
"pos",1,1,1,1,1,"svm",1,1,1,11,2,3
"pos",1,1,1,1,1,"svm",1,1,1,11,2,4
"pos",1,1,1,1,1,"svm",1,1,1,11,2,5
"pos",1,1,1,1,1,"svm",1,1,1,11,2,6
"pos",1,1,1,1,1,"svm",1,1,1,11,2,7
"pos",1,1,1,1,1,"svm",1,1,1,11,2,8
"pos",1,1,1,1,1,"svm",1,1,1,11,2,9
"pos",1,1,1,1,1,"svm",1,1,1,7,1,0
"pos",1,1,1,1,1,"svm",1,1,1,10,2,1
"pos",1,1,1,1,1,"svm",1,1,1,10,2,2
"pos",1,1,1,1,1,"svm",1,1,1,10,2,3
"pos",1,1,1,1,1,"svm",1,1,1,10,2,4
"pos",1,1,1,1,1,"svm",1,1,1,10,2,5
"pos",1,1,1,1,1,"svm",1,1,1,10,2,6
"pos",1,1,1,1,1,"svm",1,1,1,10,2,7
"pos",1,1,1,1,1,"svm",1,1,1,10,2,8
"pos",1,1,1,1,1,"svm",1,1,1,10,2,9
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.8928571428571429,9,1,0
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,29,2,1
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,40,3,2
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,40,3,3
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,40,3,4
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,40,3,5
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,40,3,6
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,40,3,7
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,40,3,8
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9285714285714285,40,3,9
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,14,1,0
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8181818181818182,0.56,1,17,2,1
"pos",1,1,1,1,1,"svm",1,1,1,110,3,2
"pos",1,1,1,1,1,"svm",1,1,1,110,3,3
"pos",1,1,1,1,1,"svm",1,1,1,110,3,4
"pos",1,1,1,1,1,"svm",1,1,1,110,3,5
"pos",1,1,1,1,1,"svm",1,1,1,110,3,6
"pos",1,1,1,1,1,"svm",1,1,1,110,3,7
"pos",1,1,1,1,1,"svm",1,1,1,110,3,8
"pos",1,1,1,1,1,"svm",1,1,1,110,3,9
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8181818181818182,0.56,0.9642857142857143,23,1,0
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8181818181818182,0.56,0.9642857142857143,28,2,1
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,30,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,30,3,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,30,3,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,30,3,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,30,3,6
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,30,3,7
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,30,3,8
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,30,3,9
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,6,1,0
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,10,2,1
"pos",1,1,1,1,1,"svm",1,1,1,13,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,15,4,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,15,4,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,15,4,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,15,4,6
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,15,4,7
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,15,4,8
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,15,4,9
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,0
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,1
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,2
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,3
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,4
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,5
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,6
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,7
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,8
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,4,1,9
"pos",1,1,1,1,1,"svm",1,1,1,5,1,0
"pos",1,1,1,1,1,"svm",1,1,1,9,2,1
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,3,2
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,3,3
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,3,4
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,3,5
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,3,6
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,3,7
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,3,8
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,3,9
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,0
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,1
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,2
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,3
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,4
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,5
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,6
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,7
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,8
"pos",0.5,0.6666666666666666,0.5,0.8571428571428571,0.5714285714285715,"svm",0.7272727272727273,0.37735849056603776,0.9107142857142857,6,1,9
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,11,1,0
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,1
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,2
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,3
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,4
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,5
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,6
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,7
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,8
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,13,2,9
"pos",1,1,1,1,1,"svm",1,1,1,7,1,0
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,13,2,1
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,17,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,19,4,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,21,5,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,21,5,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,21,5,6
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,21,5,7
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,21,5,8
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,21,5,9
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,0
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,1
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,2
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,3
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,4
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,5
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,6
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,7
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,8
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,1,2,1,9
"pos",1,1,1,1,1,"svm",1,1,1,1,1,0
"pos",1,1,1,1,1,"svm",1,1,1,2,2,1
"pos",1,1,1,1,1,"svm",1,1,1,3,3,2
"pos",1,1,1,1,1,"svm",1,1,1,4,4,3
"pos",1,1,1,1,1,"svm",1,1,1,4,4,4
"pos",1,1,1,1,1,"svm",1,1,1,4,4,5
"pos",1,1,1,1,1,"svm",1,1,1,4,4,6
"pos",1,1,1,1,1,"svm",1,1,1,4,4,7
"pos",1,1,1,1,1,"svm",1,1,1,4,4,8
"pos",1,1,1,1,1,"svm",1,1,1,4,4,9
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.8571428571428571,62,1,0
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8181818181818182,0.56,0.9642857142857143,76,2,1
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8181818181818182,0.56,1,77,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,84,4,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,86,5,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,89,6,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,91,7,6
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9821428571428572,93,8,7
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9821428571428572,95,9,8
"pos",1,0.8,1,0.8571428571428571,0.888888888888889,"svm",0.9090909090909091,0.8135593220338982,0.9821428571428572,95,9,9
"pos",1,1,1,1,1,"svm",1,1,1,16,1,0
"pos",1,1,1,1,1,"svm",1,1,1,25,2,1
"pos",1,1,1,1,1,"svm",1,1,1,26,3,2
"pos",1,1,1,1,1,"svm",1,1,1,26,3,3
"pos",1,1,1,1,1,"svm",1,1,1,26,3,4
"pos",1,1,1,1,1,"svm",1,1,1,26,3,5
"pos",1,1,1,1,1,"svm",1,1,1,26,3,6
"pos",1,1,1,1,1,"svm",1,1,1,26,3,7
"pos",1,1,1,1,1,"svm",1,1,1,26,3,8
"pos",1,1,1,1,1,"svm",1,1,1,26,3,9
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.9285714285714285,6,1,0
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,1
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,2
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,3
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,4
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,5
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,6
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,7
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,8
"pos",1,0.6666666666666666,1,0.7142857142857143,0.8,"svm",0.8181818181818182,0.6451612903225807,0.8928571428571429,7,2,9
"pos",1,1,1,1,1,"svm",1,1,1,7,1,0
"pos",1,1,1,1,1,"svm",1,1,1,8,2,1
"pos",1,1,1,1,1,"svm",1,1,1,11,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,12,4,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,12,4,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,12,4,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,12,4,6
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,12,4,7
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,12,4,8
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,12,4,9
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,0.8035714285714286,4,1,0
"pos",0.25,1,0.25,1,0.4,"svm",0.7272727272727273,0.297872340425532,1,63,2,1
